date,RAIN
1993-01-01,27.6
1993-02-01,45.4
1993-03-01,48.1
1993-04-01,39.8
1993-05-01,1.6
1993-06-01,12
1993-07-01,28.2
1993-08-01,3
1993-09-01,2.2
1993-10-01,8
1993-11-01,57.8
1993-12-01,23.8
1994-01-01,54
1994-02-01,65.3
1994-03-01,63.9
1994-04-01,12.8
1994-05-01,6.5
1994-06-01,10.9
1994-07-01,0
1994-08-01,2.3
1994-09-01,85.6
1994-10-01,42.8
1994-11-01,50
1994-12-01,40
1995-01-01,29.9
1995-02-01,23.3
1995-03-01,38.5
1995-04-01,37
1995-05-01,0.1
1995-06-01,39
1995-07-01,8.5
1995-08-01,18.2
1995-09-01,40.3
1995-10-01,34.2
1995-11-01,44.5
1995-12-01,20.2
1996-01-01,10.6
1996-02-01,44.8
1996-03-01,49.7
1996-04-01,41.9
1996-05-01,15.4
1996-06-01,27.1
1996-07-01,53.5
1996-08-01,14.6
1996-09-01,4.2
1996-10-01,54.7
1996-11-01,42.1
1996-12-01,10.4
1997-01-01,34.4
1997-02-01,24.7
1997-03-01,56.6
1997-04-01,11.5
1997-05-01,57
1997-06-01,74.8
1997-07-01,1.5
1997-08-01,1.9
1997-09-01,4.1
1997-10-01,70.3
1997-11-01,42.6
1997-12-01,64.8
1998-01-01,61
1998-02-01,47.7
1998-03-01,43.8
1998-04-01,42.4
1998-05-01,39.6
1998-06-01,18.1
1998-07-01,6.6
1998-08-01,53.6
1998-09-01,8.9
1998-10-01,23.7
1998-11-01,14.6
1998-12-01,14.3
1999-01-01,43.5
1999-02-01,29.3
1999-03-01,28
1999-04-01,32.3
1999-05-01,20.8
1999-06-01,1
1999-07-01,44.8
1999-08-01,1.8
1999-09-01,43.8
1999-10-01,39
1999-11-01,47.8
1999-12-01,10.7
2000-01-01,45.7
2000-02-01,38.5
2000-03-01,22
2000-04-01,5.1
2000-05-01,1.6
2000-06-01,19.6
2000-07-01,0
2000-08-01,10.4
2000-09-01,54.6
2000-10-01,29.4
2000-11-01,8.8
2000-12-01,46.3
2001-01-01,14.5
2001-02-01,25.2
2001-03-01,67.5
2001-04-01,14.1
2001-05-01,10.8
2001-06-01,1
2001-07-01,16.5
2001-08-01,10.1
2001-09-01,0.9
2001-10-01,30
2001-11-01,33.8
2001-12-01,19.6
2002-01-01,45.4
2002-02-01,37.8
2002-03-01,28.2
2002-04-01,90.2
2002-05-01,9.9
2002-06-01,0.7
2002-07-01,34.3
2002-08-01,23.6
2002-09-01,0
2002-10-01,45.4
2002-11-01,16.8
2002-12-01,50.8
2003-01-01,15.2
2003-02-01,58.3
2003-03-01,80.7
2003-04-01,81.3
2003-05-01,34.2
2003-06-01,30.4
2003-07-01,1.6
2003-08-01,0.8
2003-09-01,0.7
2003-10-01,16.7
2003-11-01,57
2003-12-01,37.3
2004-01-01,29.9
2004-02-01,12
2004-03-01,63.5
2004-04-01,92.5
2004-05-01,18.9
2004-06-01,6.6
2004-07-01,53.1
2004-08-01,1
2004-09-01,56
2004-10-01,30.7
2004-11-01,74.3
2004-12-01,34.7
2005-01-01,76.7
2005-02-01,57.6
2005-03-01,50
2005-04-01,13.5
2005-05-01,36.1
2005-06-01,19
2005-07-01,39
2005-08-01,23
2005-09-01,0.1
2005-10-01,30.2
2005-11-01,45
2005-12-01,29.1
2006-01-01,28.8
2006-02-01,27.9
2006-03-01,43.9
2006-04-01,34.3
2006-05-01,24.2
2006-06-01,3.5
2006-07-01,0.2
2006-08-01,0
2006-09-01,14.2
2006-10-01,40.7
2006-11-01,51.3
2006-12-01,41
2007-01-01,8.5
2007-02-01,26.8
2007-03-01,123.6
2007-04-01,43.9
2007-05-01,16.8
2007-06-01,79.5
2007-07-01,2.4
2007-08-01,0.8
2007-09-01,43.2
2007-10-01,1.6
2007-11-01,35.2
2007-12-01,46.8
2008-01-01,19
2008-02-01,18.1
2008-03-01,14.7
2008-04-01,40.7
2008-05-01,12.4
2008-06-01,8.2
2008-07-01,7.4
2008-08-01,0
2008-09-01,4.5
2008-10-01,13
2008-11-01,12.6
2008-12-01,22.7
2009-01-01,29.8
2009-02-01,73.3
2009-03-01,36.9
2009-04-01,102.1
2009-05-01,11.6
2009-06-01,1.8
2009-07-01,5.8
2009-08-01,26.6
2009-09-01,6.5
2009-10-01,3.3
2009-11-01,32
2009-12-01,51.8
2010-01-01,34.5
2010-02-01,73.9
2010-03-01,28.8
2010-04-01,49.7
2010-05-01,33.4
2010-06-01,8
2010-07-01,0
2010-08-01,0
2010-09-01,45
2010-10-01,16.1
2010-11-01,5
2010-12-01,1.3
